GENE_ID	locusLine	RASMC_WCE_UNSTIM_POOLED	RASMC_WCE_BRD4_UNSTIM_NEW	RASMC_WCE_PDGF_2H_POOLED	RASMC_WCE_BRD4_PDGF_2H_NEW	RASMC_WCE_PDGF_24H_POOLED	RASMC_WCE_PDGF_24H_NEW	RASMC_BRD4_UNSTIM_REP1	RASMC_BRD4_UNSTIM_NEW	RASMC_BRD4_PDGF_2H_REP2	RASMC_BRD4_PDGF_2H_NEW	RASMC_BRD4_PDGF_24H_REP2	RASMC_BRD4_PDGF_24H_NEW
ESRRA	chr1(.):222129032-222138104	0.1713	0.3121	0.2408	0.441	0.2056	0.3624	0.158	0.3921	0.3467	0.3965	0.316	0.4415
SOX15	chr10(.):56264783-56305396	0.3218	0.1959	0.3085	0.2089	0.2815	0.2038	0.3472	0.2172	0.3535	0.2191	0.4702	0.256
JUND	chr16(.):20413686-20449553	0.2859	0.1912	0.2977	0.1938	0.2817	0.1824	0.3084	0.1833	0.2936	0.1894	0.5852	0.2041
NFIC	chr7(.):11146440-11179108	0.3972	0.2147	0.3661	0.2261	0.3591	0.2189	0.4989	0.2346	0.4283	0.2533	0.8352	0.3124
FOXC1	chr17(.):33931442-33962002	0.2773	0.1645	0.2513	0.168	0.2496	0.1627	0.3375	0.1659	0.2834	0.1766	0.4317	0.2108
EGR2	chr20(.):22456079-22486080	0.0942	0.1522	0.164	0.2217	0.1461	0.1522	0.0948	0.1922	0.1554	0.1954	0.1948	0.1672
ZBTB7A	chr7(.):11427795-11453514	0.2717	0.182	0.3335	0.2009	0.2849	0.1992	0.2872	0.21	0.366	0.2135	0.6576	0.2285
FOXC2	chr19(.):53111026-53136723	0.1503	0.1431	0.2132	0.1661	0.1925	0.1417	0.1541	0.204	0.3121	0.2114	0.463	0.2042
FOXC2	chr19(.):53034734-53059519	0.2578	0.2039	0.3086	0.2001	0.2419	0.1777	0.3392	0.264	0.4085	0.2892	0.5517	0.2777
SMAD3	chr8(.):68656822-68680364	0.1682	0.177	0.1876	0.1938	0.1778	0.1837	0.1821	0.1967	0.217	0.1971	0.3372	0.2204
ATF4	chr7(.):121523789-121545613	0.1869	0.1573	0.3608	0.2053	0.263	0.1724	0.1915	0.2207	0.5511	0.2264	0.4868	0.2122
HES7	chr10(.):55670453-55690576	0.3638	0.2148	0.3681	0.2518	0.3257	0.2246	0.3769	0.2354	0.418	0.2488	0.5647	0.2863
ZBTB42	chr6(.):137229481-137248970	0.2663	0.1665	0.2997	0.1774	0.2786	0.1682	0.2807	0.1733	0.3494	0.1857	0.5689	0.2022
CEBPB	chr3(.):164419767-164436079	0.2687	0.1862	0.2867	0.1888	0.2493	0.2185	0.3642	0.229	0.309	0.2567	0.625	0.3118
FOXC2	chr19(.):53276118-53291375	0.1795	0.1785	0.2386	0.1931	0.2223	0.1743	0.1731	0.2204	0.1689	0.2241	0.3937	0.2056
ZFPM1	chr19(.):54945549-54959786	0.2382	0.1762	0.2865	0.1801	0.2657	0.1712	0.2792	0.173	0.3946	0.1967	0.7642	0.2194
FOXC2	chr19(.):53195742-53209875	0.1853	0.1548	0.2522	0.1674	0.1775	0.1411	0.3276	0.2742	0.4923	0.2781	0.4937	0.2539
ATF4	chr7(.):121477624-121490864	0.4364	0.2613	0.5258	0.2921	0.4397	0.2357	0.5859	0.3042	0.9195	0.3413	0.9248	0.3811
TFAP2A	chr17(.):24650667-24663483	0.2598	0.1862	0.2651	0.1922	0.2141	0.1801	0.2965	0.2116	0.3166	0.2312	0.4745	0.2486
HIC1	chr10(.):62009205-62021892	0.2834	0.2022	0.3256	0.2327	0.2971	0.2089	0.285	0.2193	0.3337	0.2443	0.5685	0.2532
TCF3	chr7(.):12169442-12181909	0.4179	0.2158	0.4185	0.2134	0.373	0.2075	0.4271	0.22	0.4959	0.2443	0.6945	0.2573
RXRB	chr20(.):3813647-3826079	0.2292	0.2377	0.2537	0.2442	0.2259	0.2268	0.2804	0.2846	0.3149	0.2963	0.5058	0.3235
CTCF	chr19(.):37566697-37578068	0.3283	0.2116	0.3119	0.2515	0.2867	0.2184	0.3225	0.2242	0.3612	0.2457	0.4141	0.2538
GATA2	chr4(.):120131375-120141423	0.2495	0.1844	0.2691	0.215	0.2626	0.196	0.3072	0.1989	0.3182	0.2158	0.5706	0.2484
FOXC2	chr19(.):53259303-53268809	0.3152	0.2474	0.2926	0.2234	0.2764	0.1975	0.4868	0.3666	0.5024	0.3952	0.5858	0.3459
SOX9	chr10(.):101284567-101292422	0.2336	0.1565	0.299	0.2174	0.2386	0.1951	0.295	0.2672	0.6784	0.273	0.6689	0.3371
KLF16	chr7(.):11960867-11968599	0.4584	0.233	0.4521	0.2683	0.4042	0.2211	0.5076	0.2188	0.5097	0.2596	0.7874	0.312
EGR3	chr15(.):51753024-51759378	0.219	0.2442	0.2668	0.2456	0.2064	0.2343	0.2615	0.29	0.4168	0.2768	0.4808	0.3164
FOXO1	chr2(.):141449291-141454826	0.2177	0.1892	0.2463	0.2249	0.2079	0.2158	0.2928	0.237	0.4371	0.2735	0.419	0.2812
HMGA2	chr7(.):65272075-65277500	0.4224	0.2187	0.4738	0.2318	0.3922	0.2075	0.6028	0.3414	1.3285	0.3691	1.2228	0.3236
E2F3	chr17(.):36332219-36337568	0.3246	0.2644	0.3664	0.2838	0.3222	0.2512	0.4215	0.387	0.4423	0.3821	0.6582	0.4192
YY1	chr6(.):132700439-132705286	0.4921	0.2498	0.4717	0.2737	0.3796	0.2705	0.6193	0.3072	0.6386	0.3515	0.8146	0.3919
CTCF	chr19(.):37598623-37603156	0.4272	0.2608	0.3961	0.2671	0.371	0.2703	0.5929	0.352	0.5859	0.3211	0.8186	0.4155
MTF1	chr5(.):142843112-142847359	0.2558	0.2377	0.2881	0.2518	0.2193	0.2516	0.3145	0.2757	0.4152	0.3055	0.555	0.3306
IRF9	chr15(.):34320572-34324553	0.3063	0.2324	0.3099	0.2984	0.2673	0.2559	0.3525	0.2799	0.3954	0.3283	0.5224	0.3668
MLX	chr10(.):88959589-88981420	0.32	0.2123	0.296	0.2084	0.3	0.2051	0.4088	0.2028	0.3149	0.22	0.6766	0.3189
RXRA	chr3(.):6209640-6215566	0.3096	0.2314	0.2808	0.2214	0.2941	0.2169	0.3215	0.2302	0.1589	0.2255	0.7136	0.2997
